title,min,max,center,mean,all_years,used_expressions,ignored_expressions
"GAG322: Portugal und der Seeweg nach Indien
",1504,1504,1504,1504,[1504],"[""Frühjahr 1504""]","[""heute""]"
"GAG321: Aufstieg und möglicher Fall der Banane
",1700,1999,1849,1853,"[1870, 1900, 1999, 1700, 1799]","[""Jahr 1870"", ""20. Jahrhunderts"", ""18. Jahrhundert""]","[""heute""]"
"GAG320: In 72 Tagen um die Welt – Journalistin Nellie Bly
",1889,1889,1889,1889,[1889],"[""14. November 1889""]","[""heute""]"
"GAG319: Ashoka der Große
",200,299,249,249,"[200, 299]","[""3. Jahrhundert""]",[]
"GAG318: Der Nuklearunfall von Goiânia
",1987,1987,1987,1987,[1987],"[""Herbst 1987""]","[""heute""]"
"GAG317: Roger Tichborne – die wundersame Rückkehr des Sohnes
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG316: Die Shakespeare-Unruhen
",1849,1849,1849,1849,[1849],"[""10. Mai 1849""]",[]
"GAG315: Der Mehlkrieg von 1775
",1700,1799,1749,1758,"[1775, 1700, 1799]","[""1775"", ""18. Jahrhunderts""]",[]
"GAG314: Eine kurze Geschichte der Cholera
",1854,1892,1873,1873,"[1873, 1873, 1873, 1892, 1854]","[""1873"", ""Sommer"", ""Oktober"", ""1892"", ""1854""]","[""heute""]"
"GAG313: Die Geschwister Herschel
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]","[""bald"", ""heute""]"
"GAG312: Der beste aller Ritter – das Leben von Guillaume le Maréchal
",1880,1889,1884,1884,"[1880, 1889]","[""den 1880er-Jahren""]",[]
"GAG311: Der Imjin-Krieg
",1500,1854,1677,1617,"[1854, 1592, 1500, 1599, 1543]","[""Mai"", ""Jahres 1592"", ""16. Jahrhunderts"", ""Jahr 1543""]",[]
"GAG310: Arbeitskampf, Streik und das Leben der Gewerkschaftspionierin Paula Thiede
",1800,1900,1850,1866,"[1800, 1899, 1900]","[""19. Jahrhunderts"", ""1900""]",[]
"GAG309: Die Bestie des Gévaudan
",1700,1899,1799,1788,"[1700, 1799, 1764, 1767, 1800, 1899]","[""18. Jahrhundert"", ""1764"", ""1767"", ""19. Jahrhundert""]",[]
"GAG308: Eine kurze Geschichte des Urlaubs und Reisens
"
"GAG307: Njinga, Königin von Ndongo und Matamba
",1600,1899,1749,1749,"[1600, 1699, 1800, 1899]","[""das 17. Jahrhundert"", ""19. Jahrhundert""]",[]
"GAG306: Motoren, Krieg und Inflation – Aufstieg und Fall des Unternehmers Camillo Castiglioni
"
"GAG305: Der Piltdown-Mensch
",1912,1912,1912,1912,[1912],"[""Jahr 1912""]","[""heute""]"
"GAG304: Der Falschgeldbetrug von Alves dos Reis
",290,1925,1107,1107,"[1925, 290]","[""1925"", ""290""]",[]
"GAG303: Brunelleschi und die Kathedrale von Florenz
",1682,1682,1682,1682,[1682],"[""1682""]",[]
"GAG302: Sealand und die Gründung einer Mikronation
",1967,1967,1967,1967,[1967],"[""Jahr 1967""]",[]
"GAG301: Mary Seacole
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhundert""]",[]
"GAG300: Der vorläufige Höhepunkt
"
"GAG299: Wie Basketball von James Naismith erfunden wurde
",1800,1967,1883,1889,"[1967, 1800, 1899, 1891]","[""der zweiten Hälfte"", ""19. Jahrhunderts"", ""1891""]","[""heute""]"
"GAG298: Die Grüne Fee und der Absinthismus
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]",[]
"GAG297: Die Revolutionärin und (fast) vergessene Pionierin der Frauenbewegung – Mathilde Franziska Anneke
",1800,1899,1849,1849,"[1800, 1899, 1848, 1849]","[""19. Jahrhundert"", ""1848"", ""49""]",[]
"GAG296: Jeanne la Flamme und der bretonische Erbfolgekrieg
",1300,1499,1399,1399,"[1300, 1399, 1400, 1499]","[""14. Jahrhundert"", ""15. Jahrhunderts""]",[]
"GAG295: Die Verwandlung des Axolotls
",1804,1864,1834,1834,"[1804, 1864]","[""1804"", ""60 Jahre später""]",[]
"GAG294: Erwin Kreuz
",1977,1977,1977,1977,[1977],"[""Jahr 1977""]",[]
"GAG293: Als in Europa Menschen ausgestellt wurden
",1800,1899,1849,1865,"[1800, 1899, 1896]","[""19. Jahrhunderts"", ""1896""]",[]
"GAG292: Paul Grüninger
",1938,1939,1938,1938,"[1938, 1939]","[""Jahr 1938"", ""Jahr 1939""]","[""bald""]"
"GAG291: Ein erfolgreicher Kampf gegen die Kolonialisierung
",1800,1899,1849,1865,"[1800, 1899, 1896]","[""19. Jahrhundert"", ""1. März 1896""]",[]
"GAG290: Der Angriff der Leichten Brigade
",10,2021,1015,1295,"[1854, 2021, 10]","[""Jahr 1854"", ""16.5.2021"", ""10""]",[]
"GAG289: Ein Kreuzzug, der einen ungeahnten Verlauf nahm
",1202,1202,1202,1202,[1202],"[""Jahr 1202""]","[""heute""]"
"GAG288: Der Senat, der über Leichen ging
",100,199,149,149,"[100, 199]","[""2. Jahrhundert""]",[]
"GAG287: Eine kurze Geschichte des Ballonfahrens und Fallschirmspringens
",1700,1799,1749,1765,"[1700, 1799, 1797]","[""18. Jahrhunderts"", ""1797""]","[""bald""]"
"GAG286: Die verschwundenen Seefrauen Islands
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]","[""heutzutage""]"
"GAG285: Joseph Petrosino und die Black Hand
",1900,1909,1904,1904,"[1900, 1909]","[""1900"", ""1909""]","[""bald""]"
"GAG284: ""There is death in the pot"" - Friedrich Accum und die Lebensmittelfälscher
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhunderts""]",[]
"GAG283: Lola Montez
",1800,1899,1849,1849,"[1800, 1899, 1800, 1899]","[""19. Jahrhunderts"", ""das 19. Jahrhundert""]",[]
"GAG282: Fredegund, Brunhild und der merowingische Bruderkrieg
",500,599,549,549,"[500, 599]","[""6. Jahrhundert""]",[]
"GAG281: Der Putschversuch vom 23. Februar 1981
",1981,1981,1981,1981,"[1981, 1981]","[""23. Februar 1981"", ""23. Februar 1981""]","[""heute""]"
"GAG280: Der versunkene Kontinent Lemuria
",1800,1899,1849,1854,"[1800, 1899, 1864]","[""19. Jahrhundert"", ""Jahr 1864""]","[""heute""]"
"GAG279: Muskat und Manhattan
",1600,1699,1649,1649,"[1600, 1699]","[""das 17. Jahrhundert""]","[""heute""]"
"GAG278: Von göttlichen Robotern und feuerspeienden Bullen
"
"GAG277: Der Aufstand und Putsch von Wilmington
",1898,1898,1898,1898,[1898],"[""Jahr 1898""]",[]
"GAG276: Aufruhr am Sankt-Scholastika-Tag
",1355,1955,1655,1643,"[1355, 1355, 1955, 1907]","[""Jahres 1355"", ""10. Februar"", ""Jahr 1955"", ""Jahr 1907""]","[""dieser Tag""]"
"GAG275: Victor Lustig – Der Mann, der den Eiffelturm verkaufte
",1920,1929,1924,1924,"[1925, 1920, 1929]","[""Jahr 1925"", ""den 1920er-Jahren""]",[]
"GAG274: Das Petzvalobjektiv
",1800,1949,1874,1885,"[1940, 1949, 1800, 1899, 1839]","[""die 40er Jahre"", ""19. Jahrhunderts"", ""Jahr 1839""]",[]
"GAG273: Der Alchemist und Goldmacher Franz Tausend
",1929,1929,1929,1929,[1929],"[""1929""]",[]
"GAG272: Am Ende der Welt - Napoleons letzte Jahre im Exil
",1928,1928,1928,1928,[1928],"[""letzte Jahre""]",[]
"GAG271: Caroline Neuber und der Hanswurststreit
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhundert""]",[]
"GAG270: Eine thüringische Katastrophe
",1100,1199,1149,1149,"[1100, 1199]","[""12. Jahrhundert""]",[]
"GAG269: Monika Ertl und ein Mord im Generalkonsulat
",1950,1971,1960,1960,"[1971, 1950, 1959]","[""1. April 1971"", ""den 1950er-Jahren""]","[""heute""]"
"GAG268: Die Gebrüder Kellogg und die Erfindung des Frühstücks
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhundert""]","[""bald"", ""heute""]"
"GAG267: Die Leichensynode von 897
",897,897,897,897,[897],"[""897""]","[""heute""]"
"GAG266: Die Schlacht von Azincourt
",1415,1415,1415,1415,"[1415, 1415]","[""Jahr 1415"", ""14. August""]",[]
"GAG265: Syphilis und die Tuskegee-Syphilis-Studie
",1400,1999,1699,1849,"[1400, 1499, 1900, 1999, 1940, 1949, 1900, 1999, 1932, 1972]","[""15. Jahrhunderts"", ""20. Jahrhundert"", ""den 1940er-Jahren"", ""20. Jahrhunderts"", ""1932"", ""1972""]","[""heute""]"
"GAG264: Seondeok, erste Königin Koreas
",600,699,649,649,"[600, 699]","[""7. Jahrhundert""]",[]
"GAG263: Lavoisier und die Entdeckung des Sauerstoffs
",1700,1799,1749,1762,"[1700, 1799, 1770, 1779]","[""18. Jahrhundert"", ""den 1770er-Jahren""]","[""Heute""]"
"GAG262: Die Strawhat Riots
",1900,1999,1949,1935,"[1922, 1922, 1900, 1999]","[""Jahr 1922"", ""13. September"", ""20. Jahrhunderts""]","[""heute""]"
"GAG261: Adam Worth, der Napoleon des Verbrechens
",1800,1899,1849,1849,"[1800, 1899]","[""19. Jahrhundert""]",[]
"GAG260: Der Rattenfänger von Hameln
",1284,1284,1284,1284,"[1284, 1284]","[""Jahr 1284"", ""diesem Jahr""]",[]
"GAG259: Operation Mincemeat – Eine Geheimdienstaktion während des Zweiten Weltkriegs
",1943,1943,1943,1943,[1943],"[""Jahr 1943""]",[]
"GAG258: Der Andrews Raid - Eine Lokomotive auf Abwegen
",1862,1862,1862,1862,[1862],"[""Jahr 1862""]",[]
"GAG257: Alexander von Humboldt – Bugtales.FM Crossover
"
"GAG256: Der Rütlischwur und die Anfänge der Schweizerischen Eidgenossenschaft
",1291,1291,1291,1291,[1291],"[""1. August 1291""]",[]
"GAG255: Die 47 Ronin
",1700,1799,1749,1734,"[1700, 1799, 1703]","[""18. Jahrhunderts"", ""Jahr 1703""]","[""heute""]"
"GAG254: Eine kurze Geschichte des Kautschuks
",1900,1999,1949,1949,"[1900, 1999]","[""20. Jahrhunderts""]","[""bald""]"
"GAG253: Martin Frobisher und die Steine
",1500,1703,1601,1600,"[1703, 1500, 1599]","[""die zweite Hälfte"", ""16. Jahrhunderts""]","[""bald""]"
"GAG252: Harvard Computers – Wie Astronominnen die Sterne neu sortierten
"
"GAG251: Der Schachtürke
",1700,1799,1749,1749,"[1700, 1799]","[""18. Jahrhunderts""]","[""bald""]"
